t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
60,0.06871262352132176,0.05967895740757716,0.06591799212459469,0.0670403301115757,4.191470034800628,3.6404164018622054,4.020997519600276,4.089460136806118
61,0.0671114242201554,0.060371996138434865,0.06583436772636816,0.06538045812570022,4.160908301649634,3.7430637605829635,4.081730799034826,4.0535884037934125
62,0.06771660002444933,0.06018981348929657,0.06640658182049598,0.06367975599263669,4.266145801540308,3.791958249825683,4.183614654691248,4.011824627536112
63,0.06829149590416767,0.06217018239435499,0.06717698051063561,0.06091746465505604,4.37065573786673,3.97889167323872,4.299326752680678,3.898717737923586
64,0.06686930689260752,0.06664538225578673,0.06823393910177054,0.05932769817537098,4.346504948019488,4.331949846626136,4.435206041615085,3.8563003813991137
65,0.06727197292563832,0.06565861036361387,0.06784428235526702,0.05972242593925331,4.439950213092129,4.333468283998518,4.4777226354476225,3.941680111990718
66,0.06742551931005657,0.06212670349039598,0.06584192021437431,0.05856638903790573,4.51750979377379,4.16248913385653,4.411408654363079,3.923948065539685
67,0.0648253892177568,0.06059165429651109,0.06209919746653721,0.057729769438013855,4.408126466807461,4.120232492162752,4.222745427724529,3.9256243217849414
68,0.06540780745060162,0.05986605137534227,0.06177453746337245,0.05854030161510261,4.513138714091511,4.130757544898617,4.262443084972699,4.039280811442082
69,0.06682937537889935,0.060609152673132646,0.06240352382019167,0.054106351888806546,4.678056276522953,4.242640687119284,4.368246667413416,3.787444632216458
70,0.0690148409211055,0.061562771525558384,0.06290074749421773,0.052674629236643365,4.900053705398491,4.370956778314646,4.465953072089459,3.7398986758016797
71,0.06923946355829282,0.060334478950492494,0.06465580257809458,0.053696981497681165,4.985241376197081,4.344082484435458,4.655217785622811,3.866182667833044
72,0.07061948200325122,0.06213852615429357,0.06645860742800079,0.054086996643317765,5.15522218623734,4.536112409263431,4.851478342244059,3.948350754962195
73,0.06767771960065479,0.061786856402952006,0.06583482347634415,0.05185331514170042,5.008151250448455,4.572227373818449,4.871776937249466,3.8371453204858317
74,0.06714216391686073,0.05913608055486777,0.06652265146470589,0.051530947948696094,5.035662293764557,4.435206041615085,4.98919885985294,3.8648210961522085
75,0.06780499878140492,0.0576708084396728,0.06415916273610123,0.05038035096953935,5.15317990738677,4.382981441415134,4.876096367943694,3.8289066736849926
76,0.06849762489850761,0.0575075357676671,0.06341347829716462,0.05061077802833458,5.274317117185086,4.428080254110364,4.882837828881673,3.8970299081817616
77,0.0710657988268504,0.059132569571346875,0.0641565224994098,0.051864939712184095,5.5431323084943305,4.612340426565055,5.004208754953964,4.045465297550359
78,0.07011513289910712,0.05945751378353417,0.06367637588368968,0.0506994898713853,5.5390954990294565,4.697143588899199,5.030433694811486,4.005259699839436
79,0.06992418356597685,0.0587702932477034,0.06418453556163788,0.050045209823876155,5.5939346852781435,4.701623459816274,5.13476284493103,4.003616785910091
80,0.06936227179319747,0.05611586625845236,0.06432485998278584,0.049317695986886644,5.618344015248995,4.5453851669346435,5.210313658605653,3.994733374937818
81,0.06904273605517841,0.05559015937392051,0.06370956890928131,0.04981257335009947,5.661504356524629,4.558393068661484,5.224184650561071,4.0846310147081555
82,0.06866857986512644,0.05596764531037727,0.06417110086468406,0.04896340105341933,5.699492128805494,4.64531456076131,5.326201371768776,4.063962287433807
83,0.06903627510305739,0.055717927177872384,0.06373277002029616,0.04838050342183104,5.799047108656822,4.680305882941278,5.353552681704876,4.063962287433807
84,0.06604579461235258,0.05324645385312511,0.06177133975873556,0.04829641977596382,5.613892542049962,4.525948577515634,5.250563879492524,4.105195680956921
85,0.06341993971553844,0.05381400003594847,0.05884214375948834,0.04515698677075591,5.454114815536305,4.628004003091569,5.060424363315996,3.8835008622850102
86,0.0634955153495514,0.053316224804578656,0.05745916388039533,0.04321320971376837,5.524109835410969,4.638511557998342,4.998947257594395,3.7595492450978467
87,0.06298744239200828,0.051123071105950234,0.05638290205543809,0.04504525659118628,5.542894930496724,4.498830257323621,4.961695380878555,3.963982580024395
88,0.06349740528460145,0.05031149028592836,0.057164637664448084,0.04477718962755033,5.651269070329526,4.477722635447625,5.08765275213588,3.985169876851979
89,0.062280152648376975,0.049359115543124193,0.05658691785434786,0.04348003358252939,5.605213738353922,4.442320398881173,5.092822606891306,3.913203022427643
90,0.06135020365527606,0.04852943286540963,0.05583717622767123,0.04382571772764302,5.582868532630119,4.416178390752276,5.081183036718081,3.9881403132155127
91,0.05907370410904052,0.04742852756875928,0.05614588552730828,0.04370649477826388,5.434780778031727,4.363424536325858,5.165421468512363,4.020997519600274
92,0.05819589404625535,0.04686988111334059,0.05561060006234301,0.04329279343272276,5.412218146301744,4.358898943540675,5.1717858057979,4.026229789243217
93,0.056440525050114626,0.04654755212316066,0.054187208856691746,0.04326118748230639,5.305409354710778,4.3754698995771015,5.093597632529023,4.0665516233367995
94,0.05366302335698947,0.04394857098558692,0.05398805978374027,0.04225734307993743,5.097987218914006,4.175114243630757,5.128865679455327,4.014447592594057
95,0.052639573588720685,0.04438436809111911,0.05371352291424988,0.041041777985422134,5.053399064517184,4.260899336747435,5.15649819976799,3.940010686600522
96,0.05228981001112394,0.044933990415256836,0.052577851539445115,0.040220791203288,5.072111571079017,4.358597070279911,5.100051599326174,3.9014167467189313
97,0.05428846007124347,0.04687510275312619,0.05237461658596252,0.040600935441211454,5.320269086981854,4.593760069806362,5.132712425424324,3.9788916732387194
98,0.05429679276092251,0.04695383107382341,0.052565620605901205,0.03849838807066814,5.375382483331329,4.648429276308515,5.203996439984219,3.8113404189961413
