t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
214,0.5930232558139534,0.6118604651162791,0.6572093023255814,87.5,83.45,73.7
215,0.593287037037037,0.611574074074074,0.6574074074074074,87.85,83.9,74.0
216,0.5933179723502304,0.6117511520737328,0.6571428571428571,88.25,84.25,74.4
217,0.593348623853211,0.611697247706422,0.6573394495412843,88.65,84.65,74.7
218,0.593607305936073,0.6123287671232877,0.6573059360730593,89.0,84.9,75.05
219,0.594090909090909,0.6122727272727273,0.6568181818181819,89.3,85.3,75.5
220,0.5945701357466063,0.6133484162895928,0.6570135746606335,89.6,85.45,75.8
221,0.5950450450450451,0.613963963963964,0.6574324324324324,89.9,85.7,76.05
222,0.5948430493273543,0.613677130044843,0.6569506726457399,90.35,86.15,76.5
223,0.5948660714285714,0.6140625,0.6566964285714285,90.75,86.45,76.9
224,0.5948888888888889,0.6142222222222222,0.6571111111111112,91.15,86.8,77.15
225,0.5951327433628318,0.6146017699115045,0.6566371681415929,91.5,87.1,77.6
226,0.5958149779735683,0.6151982378854626,0.656828193832599,91.75,87.35,77.9
227,0.5956140350877193,0.6146929824561403,0.656359649122807,92.2,87.85,78.35
228,0.5958515283842795,0.6146288209606987,0.6565502183406113,92.55,88.25,78.65
229,0.5954347826086956,0.6141304347826086,0.6567391304347826,93.05,88.75,78.95
230,0.596103896103896,0.6145021645021644,0.6569264069264069,93.3,89.05,79.25
231,0.5956896551724138,0.6137931034482759,0.6564655172413794,93.8,89.6,79.7
232,0.5954935622317596,0.6133047210300429,0.6562231759656653,94.25,90.1,80.1
233,0.5961538461538461,0.6136752136752137,0.6557692307692308,94.5,90.4,80.55
234,0.5957446808510638,0.6127659574468085,0.6551063829787234,95.0,91.0,81.05
235,0.5963983050847458,0.6127118644067797,0.6552966101694915,95.25,91.4,81.35
236,0.5964135021097047,0.6128691983122363,0.6550632911392406,95.65,91.75,81.75
237,0.5968487394957983,0.6140756302521009,0.6554621848739496,95.95,91.85,82.0
238,0.5964435146443515,0.6140167364016736,0.6556485355648536,96.45,92.25,82.3
239,0.5970833333333333,0.6141666666666666,0.6560416666666666,96.7,92.6,82.55
240,0.5975103734439834,0.6139004149377594,0.6562240663900415,97.0,93.05,82.85
241,0.5977272727272728,0.6140495867768595,0.6557851239669421,97.35,93.4,83.3
242,0.5975308641975309,0.6139917695473252,0.6553497942386831,97.8,93.8,83.75
243,0.5977459016393443,0.6139344262295082,0.655327868852459,98.15,94.2,84.1
244,0.5981632653061224,0.6142857142857142,0.6555102040816326,98.45,94.5,84.4
245,0.5983739837398374,0.6140243902439024,0.6558943089430895,98.8,94.95,84.65
246,0.5987854251012146,0.6143724696356275,0.6554655870445345,99.1,95.25,85.1
247,0.5993951612903226,0.614516129032258,0.6556451612903226,99.35,95.6,85.4
248,0.5991967871485944,0.6142570281124498,0.6552208835341365,99.8,96.05,85.85
249,0.5993999999999999,0.6146,0.6546000000000001,100.15,96.35,86.35
250,0.599601593625498,0.6143426294820717,0.6551792828685259,100.5,96.8,86.55
251,0.6001984126984128,0.6146825396825396,0.655952380952381,100.75,97.1,86.7
252,0.6007905138339921,0.6146245059288538,0.6563241106719369,101.0,97.5,86.95
253,0.600984251968504,0.6145669291338582,0.6562992125984252,101.35,97.9,87.3
254,0.6015686274509804,0.6147058823529411,0.6566666666666666,101.6,98.25,87.55
255,0.601953125,0.614453125,0.656640625,101.9,98.7,87.9
256,0.6021400778210116,0.6142023346303501,0.6570038910505837,102.25,99.15,88.15
257,0.6021317829457364,0.6145348837209302,0.6575581395348837,102.65,99.45,88.35
258,0.6021235521235522,0.6144787644787645,0.6573359073359073,103.05,99.85,88.75
259,0.6019230769230769,0.6140384615384615,0.6567307692307692,103.5,100.35,89.25
260,0.6022988505747127,0.614367816091954,0.6572796934865901,103.8,100.65,89.45
261,0.6022900763358778,0.6143129770992366,0.6568702290076336,104.2,101.05,89.9
262,0.6017110266159695,0.6136882129277567,0.6566539923954372,104.75,101.6,90.3
263,0.6018939393939394,0.6136363636363636,0.65625,105.1,102.0,90.75
264,0.6018867924528302,0.6133962264150943,0.6556603773584906,105.5,102.45,91.25
265,0.6026315789473684,0.6135338345864663,0.6556390977443609,105.7,102.8,91.6
266,0.602621722846442,0.6132958801498127,0.6556179775280899,106.1,103.25,91.95
267,0.6029850746268657,0.6136194029850747,0.6557835820895522,106.4,103.55,92.25
268,0.6024163568773234,0.6131970260223049,0.6546468401486989,106.95,104.05,92.9
269,0.6031481481481482,0.6137037037037036,0.6546296296296296,107.15,104.3,93.25
270,0.6027675276752767,0.6136531365313653,0.6544280442804429,107.65,104.7,93.65
271,0.6027573529411765,0.6132352941176471,0.6544117647058824,108.05,105.2,94.0
272,0.6027472527472527,0.6130036630036629,0.6542124542124542,108.45,105.65,94.4
273,0.6025547445255475,0.6127737226277372,0.654014598540146,108.9,106.1,94.8
274,0.6027272727272728,0.6132727272727273,0.6545454545454545,109.25,106.35,95.0
275,0.6021739130434783,0.6125,0.6539855072463767,109.8,106.95,95.5
276,0.6023465703971119,0.6126353790613719,0.6537906137184115,110.15,107.3,95.9
277,0.6028776978417266,0.6127697841726618,0.6543165467625899,110.4,107.65,96.1
278,0.603584229390681,0.6129032258064516,0.6550179211469535,110.6,108.0,96.25
279,0.6041071428571428,0.6130357142857144,0.6553571428571429,110.85,108.35,96.5
280,0.6040925266903915,0.6133451957295374,0.6555160142348754,111.25,108.65,96.8
281,0.6046099290780143,0.6140070921985815,0.6558510638297872,111.5,108.85,97.05
282,0.6054770318021202,0.6143109540636043,0.6565371024734982,111.65,109.15,97.2
283,0.6056338028169014,0.6144366197183098,0.6565140845070423,112.0,109.5,97.55
284,0.606140350877193,0.6147368421052631,0.6566666666666666,112.25,109.8,97.85
285,0.6052447552447553,0.613986013986014,0.6562937062937062,112.9,110.4,98.3
286,0.6054006968641115,0.613588850174216,0.6562717770034843,113.25,110.9,98.65
287,0.6052083333333333,0.6133680555555555,0.656423611111111,113.7,111.35,98.95
288,0.6057093425605536,0.6133217993079585,0.6564013840830449,113.95,111.75,99.3
289,0.6055172413793104,0.6127586206896551,0.6558620689655172,114.4,112.3,99.8
290,0.6053264604810996,0.6127147766323024,0.6553264604810997,114.85,112.7,100.3
291,0.6051369863013699,0.6126712328767123,0.6554794520547945,115.3,113.1,100.6
292,0.6052901023890784,0.6131399317406143,0.6561433447098975,115.65,113.35,100.75
293,0.6054421768707483,0.6129251700680272,0.6557823129251701,116.0,113.8,101.2
294,0.6054237288135593,0.6130508474576272,0.655593220338983,116.4,114.15,101.6
295,0.6052364864864865,0.6131756756756757,0.6555743243243243,116.85,114.5,101.95
296,0.6057239057239057,0.6132996632996633,0.6562289562289563,117.1,114.85,102.1
297,0.6053691275167785,0.6129194630872483,0.6558724832214765,117.6,115.35,102.55
298,0.6051839464882943,0.6127090301003345,0.6551839464882943,118.05,115.8,103.1
299,0.6058333333333333,0.6131666666666666,0.6553333333333333,118.25,116.05,103.4
300,0.6056478405315614,0.6129568106312292,0.6549833887043189,118.7,116.5,103.85
301,0.605794701986755,0.6129139072847682,0.6546357615894041,119.05,116.9,104.3
302,0.6054455445544554,0.6128712871287129,0.6544554455445544,119.55,117.3,104.7
303,0.6055921052631579,0.6126644736842105,0.6546052631578948,119.9,117.75,105.0
304,0.6054098360655737,0.6122950819672132,0.6542622950819672,120.35,118.25,105.45
305,0.6047385620915032,0.6112745098039216,0.6532679738562092,120.95,118.95,106.1
306,0.6047231270358306,0.6110749185667752,0.6530944625407166,121.35,119.4,106.5
307,0.6048701298701299,0.6108766233766234,0.6525974025974026,121.7,119.85,107.0
308,0.6051779935275081,0.6114886731391586,0.6530744336569579,122.0,120.05,107.2
309,0.6051612903225807,0.6114516129032258,0.6527419354838709,122.4,120.45,107.65
310,0.6056270096463023,0.6117363344051447,0.6528938906752412,122.65,120.75,107.95
311,0.605448717948718,0.6120192307692307,0.652724358974359,123.1,121.05,108.35
312,0.6054313099041534,0.6118210862619808,0.6523961661341853,123.5,121.5,108.8
313,0.6054140127388534,0.6119426751592356,0.652547770700637,123.9,121.85,109.1
314,0.6058730158730159,0.6120634920634921,0.6526984126984127,124.15,122.2,109.4
315,0.6058544303797468,0.6123417721518988,0.6530063291139241,124.55,122.5,109.65
316,0.6055205047318613,0.61198738170347,0.6523659305993691,125.05,123.0,110.2
317,0.605503144654088,0.6122641509433963,0.6518867924528301,125.45,123.3,110.7
318,0.6061128526645768,0.6128526645768024,0.6525078369905957,125.65,123.5,110.85
319,0.6060937500000001,0.61265625,0.6526562499999999,126.05,123.95,111.15
320,0.6059190031152648,0.6127725856697819,0.652803738317757,126.5,124.3,111.45
321,0.6062111801242236,0.6130434782608696,0.6527950310559005,126.8,124.6,111.8
322,0.6061919504643962,0.6125386996904025,0.6529411764705882,127.2,125.15,112.1
323,0.6064814814814815,0.6128086419753086,0.6532407407407408,127.5,125.45,112.35
324,0.6066153846153847,0.6127692307692307,0.6535384615384615,127.85,125.85,112.6
325,0.6065950920245399,0.6127300613496932,0.6535276073619631,128.25,126.25,112.95
326,0.6064220183486239,0.6125382262996941,0.6536697247706422,128.7,126.7,113.25
327,0.6065548780487805,0.6125,0.6536585365853659,129.05,127.1,113.6
328,0.606838905775076,0.6126139817629179,0.6537993920972645,129.35,127.45,113.9
329,0.6068181818181818,0.6124242424242424,0.6539393939393939,129.75,127.9,114.2
330,0.6067975830815711,0.6122356495468277,0.6540785498489426,130.15,128.35,114.5
331,0.6064759036144578,0.6117469879518073,0.6537650602409639,130.65,128.9,114.95
332,0.6067567567567568,0.6117117117117117,0.6537537537537538,130.95,129.3,115.3
333,0.6067365269461078,0.6119760479041916,0.6540419161676647,131.35,129.6,115.55
334,0.6070149253731343,0.612089552238806,0.6546268656716417,131.65,129.95,115.7
335,0.6072916666666667,0.6123511904761905,0.6550595238095238,131.95,130.25,115.9
336,0.6072700296735906,0.6123145400593473,0.6550445103857567,132.35,130.65,116.25
337,0.6078402366863905,0.6128698224852072,0.6556213017751479,132.55,130.85,116.4
338,0.6079646017699115,0.6128318584070797,0.6556047197640118,132.9,131.25,116.75
339,0.6077941176470588,0.6123529411764705,0.6552941176470588,133.35,131.8,117.2
340,0.6076246334310851,0.6120234604105572,0.6549853372434018,133.8,132.3,117.65
341,0.6076023391812866,0.6121345029239766,0.6548245614035089,134.2,132.65,118.05
342,0.6080174927113703,0.6123906705539358,0.6549562682215744,134.45,132.95,118.35
343,0.6078488372093023,0.6117732558139535,0.654796511627907,134.9,133.55,118.75
344,0.6081159420289854,0.6115942028985507,0.6552173913043478,135.2,134.0,118.95
