t,cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_supervised_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret,cumulative_supervised_regret
191,0.6028645833333333,0.6177083333333334,0.6515625,0.62890625,76.25,73.4,66.9,71.25
192,0.6031088082901555,0.6178756476683938,0.6518134715025907,0.6284974093264248,76.6,73.75,67.2,71.7
193,0.6036082474226804,0.6177835051546392,0.652319587628866,0.6293814432989691,76.9,74.15,67.45,71.9
194,0.6046153846153846,0.6182051282051282,0.6533333333333333,0.6297435897435897,77.1,74.45,67.6,72.2
195,0.6043367346938775,0.6186224489795918,0.6533163265306123,0.6290816326530612,77.55,74.75,67.95,72.7
196,0.6048223350253807,0.6190355329949239,0.6538071065989848,0.6294416243654822,77.85,75.05,68.2,73.0
197,0.6042929292929293,0.6181818181818182,0.6535353535353535,0.6290404040404041,78.35,75.6,68.6,73.45
198,0.6052763819095477,0.6178391959798996,0.6540201005025126,0.6296482412060301,78.55,76.05,68.85,73.7
199,0.605,0.61675,0.65425,0.6295,79.0,76.65,69.15,74.1
200,0.6054726368159205,0.6169154228855722,0.6547263681592039,0.6300995024875622,79.3,77.0,69.4,74.35
201,0.6059405940594059,0.6175742574257426,0.6551980198019802,0.6306930693069307,79.6,77.25,69.65,74.6
202,0.6054187192118227,0.6172413793103448,0.6549261083743843,0.6307881773399016,80.1,77.7,70.05,74.95
203,0.6049019607843137,0.6166666666666667,0.6544117647058824,0.6301470588235294,80.6,78.2,70.5,75.45
204,0.6060975609756097,0.6173170731707317,0.6551219512195122,0.6309756097560976,80.75,78.45,70.7,75.65
205,0.6053398058252427,0.6165048543689321,0.6543689320388351,0.6308252427184466,81.3,79.0,71.2,76.05
206,0.6060386473429952,0.6169082125603864,0.6543478260869565,0.6309178743961352,81.55,79.3,71.55,76.4
207,0.6057692307692307,0.6161057692307692,0.6536057692307693,0.6305288461538462,82.0,79.85,72.05,76.85
208,0.6055023923444975,0.6160287081339713,0.6535885167464115,0.6313397129186603,82.45,80.25,72.4,77.05
209,0.6052380952380952,0.6157142857142858,0.6535714285714286,0.6314285714285715,82.9,80.7,72.75,77.4
210,0.6059241706161138,0.616824644549763,0.6542654028436019,0.6317535545023697,83.15,80.85,72.95,77.7
211,0.6058962264150943,0.6169811320754717,0.6547169811320754,0.632311320754717,83.55,81.2,73.2,77.95
212,0.6051643192488263,0.615962441314554,0.6537558685446009,0.6312206572769953,84.1,81.8,73.75,78.55
213,0.6053738317757009,0.6165887850467289,0.6539719626168223,0.6317757009345795,84.45,82.05,74.05,78.8
214,0.6055813953488373,0.6165116279069768,0.6537209302325582,0.6323255813953488,84.8,82.45,74.45,79.05
215,0.6060185185185185,0.6166666666666667,0.6541666666666667,0.632638888888889,85.1,82.8,74.7,79.35
216,0.6055299539170507,0.6168202764976958,0.654147465437788,0.632258064516129,85.6,83.15,75.05,79.8
217,0.6059633027522936,0.6169724770642202,0.6541284403669725,0.6323394495412844,85.9,83.5,75.4,80.15
218,0.6070776255707762,0.617579908675799,0.6547945205479452,0.6331050228310502,86.05,83.75,75.6,80.35
219,0.6070454545454546,0.6170454545454546,0.6540909090909091,0.6331818181818182,86.45,84.25,76.1,80.7
220,0.6070135746606334,0.6165158371040723,0.6538461538461539,0.6334841628959276,86.85,84.75,76.5,81.0
221,0.6076576576576577,0.6175675675675676,0.654054054054054,0.6337837837837837,87.1,84.9,76.8,81.3
222,0.6080717488789238,0.6179372197309416,0.6547085201793722,0.6340807174887892,87.4,85.2,77.0,81.6
223,0.6080357142857143,0.6178571428571429,0.6544642857142857,0.6334821428571429,87.8,85.6,77.4,82.1
224,0.6082222222222222,0.6188888888888889,0.6544444444444444,0.6337777777777778,88.15,85.75,77.75,82.4
225,0.6070796460176991,0.6183628318584071,0.6533185840707965,0.6325221238938054,88.8,86.25,78.35,83.05
226,0.6068281938325991,0.6176211453744493,0.6530837004405285,0.6323788546255507,89.25,86.8,78.75,83.45
227,0.606359649122807,0.6175438596491227,0.6530701754385965,0.631578947368421,89.75,87.2,79.1,84.0
228,0.6058951965065502,0.6172489082969432,0.6528384279475983,0.6320960698689956,90.25,87.65,79.5,84.25
229,0.606304347826087,0.6178260869565217,0.6530434782608696,0.6323913043478261,90.55,87.9,79.8,84.55
230,0.606926406926407,0.6181818181818182,0.6532467532467533,0.6331168831168832,90.8,88.2,80.1,84.75
231,0.6077586206896551,0.6193965517241379,0.653448275862069,0.633405172413793,91.0,88.3,80.4,85.05
232,0.6081545064377682,0.6197424892703862,0.6536480686695278,0.6336909871244635,91.3,88.6,80.7,85.35
233,0.6085470085470085,0.6196581196581197,0.6538461538461539,0.6337606837606837,91.6,89.0,81.0,85.7
234,0.6087234042553191,0.6195744680851064,0.6538297872340426,0.6340425531914893,91.95,89.4,81.35,86.0
235,0.6091101694915254,0.6197033898305084,0.6536016949152542,0.6341101694915254,92.25,89.75,81.75,86.35
236,0.6090717299578059,0.6196202531645569,0.6533755274261603,0.6343881856540085,92.65,90.15,82.15,86.65
237,0.6098739495798319,0.6203781512605042,0.6535714285714286,0.6348739495798319,92.85,90.35,82.45,86.9
238,0.610878661087866,0.6211297071129707,0.6543933054393305,0.6357740585774059,93.0,90.55,82.6,87.05
239,0.61125,0.6216666666666667,0.6545833333333333,0.6360416666666666,93.3,90.8,82.9,87.35
240,0.6107883817427385,0.620954356846473,0.6545643153526971,0.6367219917012448,93.8,91.35,83.25,87.55
241,0.6109504132231405,0.6208677685950413,0.6549586776859504,0.637396694214876,94.15,91.75,83.5,87.75
242,0.6109053497942387,0.6209876543209877,0.6549382716049383,0.6378600823045267,94.55,92.1,83.85,88.0
243,0.610860655737705,0.6209016393442622,0.655327868852459,0.6381147540983607,94.95,92.5,84.1,88.3
244,0.6114285714285714,0.6212244897959184,0.6555102040816326,0.6383673469387755,95.2,92.8,84.4,88.6
245,0.6113821138211383,0.6209349593495934,0.6556910569105691,0.6392276422764228,95.6,93.25,84.7,88.75
246,0.6117408906882591,0.6206477732793523,0.6562753036437247,0.6392712550607287,95.9,93.7,84.9,89.1
247,0.6116935483870968,0.6207661290322581,0.6558467741935484,0.6391129032258064,96.3,94.05,85.35,89.5
248,0.6116465863453815,0.621285140562249,0.6562248995983936,0.6391566265060241,96.7,94.3,85.6,89.85
249,0.6115999999999999,0.6214000000000001,0.656,0.6392,97.1,94.65,86.0,90.2
250,0.6117529880478088,0.6211155378486055,0.6563745019920318,0.6396414342629482,97.45,95.1,86.25,90.45
251,0.6125,0.6216269841269841,0.6567460317460317,0.6406746031746031,97.65,95.35,86.5,90.55
252,0.6128458498023716,0.6215415019762845,0.657114624505929,0.6407114624505929,97.95,95.75,86.75,90.9
253,0.6127952755905512,0.6218503937007874,0.6570866141732283,0.640748031496063,98.35,96.05,87.1,91.25
