cumulative_accuracy,cumulative_fixed_baseline_accuracy,cumulative_clinical_baseline_accuracy,cumulative_regret,cumulative_fixed_baseline_regret,cumulative_clinical_baseline_regret
0.5980603448275862,0.6202586206896552,0.6579741379310345,93.25,88.1,79.35
0.598068669527897,0.6195278969957082,0.6568669527896996,93.65,88.65,79.95
0.5978632478632478,0.6188034188034188,0.6561965811965812,94.1,89.2,80.45
0.5974468085106384,0.6185106382978723,0.6561702127659574,94.6,89.65,80.8
0.5972457627118645,0.6184322033898305,0.6561440677966102,95.05,90.05,81.15
0.5974683544303797,0.6185654008438818,0.6563291139240507,95.4,90.4,81.45
0.5970588235294118,0.6182773109243698,0.6563025210084034,95.9,90.85,81.8
0.5972803347280335,0.6182008368200836,0.6560669456066945,96.25,91.25,82.2
0.5979166666666667,0.61875,0.6564583333333334,96.5,91.5,82.45
0.5983402489626556,0.6188796680497926,0.6566390041493776,96.8,91.85,82.75
0.5985537190082645,0.618595041322314,0.6566115702479338,97.15,92.3,83.1
0.5989711934156379,0.6187242798353909,0.6569958847736626,97.45,92.65,83.35
0.5995901639344263,0.6190573770491803,0.6567622950819672,97.7,92.95,83.75
0.6008163265306122,0.6202040816326531,0.6575510204081633,97.8,93.05,83.9
0.601219512195122,0.6207317073170732,0.6573170731707317,98.1,93.3,84.3
0.601417004048583,0.6210526315789473,0.657085020242915,98.45,93.6,84.7
0.6018145161290323,0.6215725806451613,0.6570564516129032,98.75,93.85,85.05
0.6022088353413655,0.6216867469879518,0.6570281124497992,99.05,94.2,85.4
0.6026,0.622,0.6574,99.35,94.5,85.65
0.6027888446215139,0.6219123505976095,0.6579681274900399,99.7,94.9,85.85
0.6031746031746031,0.6222222222222222,0.658531746031746,100.0,95.2,86.05
0.6039525691699604,0.6227272727272728,0.6590909090909091,100.2,95.45,86.25
0.6045275590551181,0.6234251968503937,0.6596456692913386,100.45,95.65,86.45
0.6050980392156863,0.6237254901960785,0.6601960784313725,100.7,95.95,86.65
0.605078125,0.6236328125,0.659765625,101.1,96.35,87.1
0.6060311284046692,0.6245136186770428,0.6601167315175097,101.25,96.5,87.35
0.6062015503875969,0.6246124031007751,0.6608527131782946,101.6,96.85,87.5
0.6065637065637065,0.6252895752895753,0.6613899613899614,101.9,97.05,87.7
0.6061538461538462,0.6246153846153846,0.6609615384615385,102.4,97.6,88.15
0.6063218390804598,0.6249042145593869,0.660536398467433,102.75,97.9,88.6
0.6059160305343512,0.623854961832061,0.6595419847328244,103.25,98.55,89.2
0.6055133079847909,0.623574144486692,0.6596958174904943,103.75,99.0,89.5
0.6056818181818182,0.6236742424242424,0.6598484848484849,104.1,99.35,89.8
0.6058490566037735,0.6233962264150943,0.659622641509434,104.45,99.8,90.2
0.606015037593985,0.6234962406015038,0.6592105263157895,104.8,100.15,90.65
0.6056179775280899,0.6228464419475656,0.6588014981273409,105.3,100.7,91.1
0.6055970149253731,0.6225746268656717,0.6582089552238806,105.7,101.15,91.6
0.6057620817843866,0.6228624535315985,0.6578066914498141,106.05,101.45,92.05
0.606111111111111,0.6235185185185185,0.6577777777777778,106.35,101.65,92.4
0.6062730627306273,0.6239852398523985,0.6575645756457564,106.7,101.9,92.8
0.6068014705882353,0.6244485294117647,0.6580882352941176,106.95,102.15,93.0
0.6067765567765567,0.6238095238095238,0.6578754578754579,107.35,102.7,93.4
0.6062043795620438,0.6235401459854015,0.6572992700729927,107.9,103.15,93.9
0.6058181818181818,0.623090909090909,0.6567272727272727,108.4,103.65,94.4
0.6054347826086957,0.6230072463768116,0.6563405797101449,108.9,104.05,94.85
0.6048736462093862,0.6225631768953068,0.6563176895306859,109.45,104.55,95.2
0.6050359712230216,0.6226618705035971,0.656294964028777,109.8,104.9,95.55
0.6053763440860215,0.6231182795698925,0.6564516129032258,110.1,105.15,95.85
0.6058928571428571,0.6233928571428572,0.6564285714285714,110.35,105.45,96.2
0.6062277580071174,0.6236654804270463,0.6567615658362989,110.65,105.75,96.45
0.6062056737588652,0.623404255319149,0.6565602836879433,111.05,106.2,96.85
0.6065371024734982,0.6236749116607774,0.656713780918728,111.35,106.5,97.15
0.6070422535211268,0.6242957746478873,0.6566901408450704,111.6,106.7,97.5
0.6063157894736843,0.623859649122807,0.6563157894736842,112.2,107.2,97.95
0.6062937062937063,0.6234265734265734,0.6564685314685315,112.6,107.7,98.25
0.6055749128919861,0.6224738675958188,0.6559233449477352,113.2,108.35,98.75
0.6059027777777778,0.6229166666666667,0.6559027777777777,113.5,108.6,99.1
